id,name,KM 1,Precio 1,Precio 1 descuento,KM 2,Precio 2,Precios 2 descuneto,KM 3,Precio 3,Precios 3 descuneto,KM 4,Precio 4,stock,category,Destacadas,Image 1,Image 2,Image 3
0231,AGILITY GATO URINARY ,"1,5KG",16200,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/V69s0BXj/AGILITY-GATO-URINARY-1-5-KG.webp,,
0233,AGILITY GATO CONTROL DE PESO ,"1,5KG",17200,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/bJxGNSWg/AGILITY-GATO-CONTROL-DE-PESO-1-5KG.webp,,
0232,AGILITY GATO ADULTO ,"1,5KG",15000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/YSwZqhbx/AGILITY-GATO-ADULTO-1-5KG.webp,https://i.postimg.cc/GtPyFF0v/AGILITY-TABLA-NUTRICIONAL-ADULTO.jpg,
7142,OPTIMUM GATO ADULTO,3KG,24300,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/7ZB9jhjT/OPTIMUN-GATO-ADULTO-3KG.png,,
7146,OPTIMUM PUPPY PEQUEÑO,3KG,17000,,,,,,,,,,0,PERRO,FALSE,https://i.postimg.cc/PrMnpb8n/OPTIMUN-PUPPY-PEQUENO.png,,
7144,OPTIMUM PUPPY MED/GR ,3KG,17000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/NLvGsQVy/OPTIMUN-PUPPY-MED-GR-3KG.png,,
,UPPER CROCK PREMIUN GATO ADULTO,3KG,17300,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/1tJQwJjz/UPPER-CROCK-PREMIUN-GATO-ADULTO-3KG.webp,,
2186,SIEGER ADULTO MED/GR ,15KG,103000,,3KG,25800,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/Wb4nRKJC/SIEGER-ADULTO-MEDIANO-GRANDE-15KG.webp,https://i.postimg.cc/52qsDXYb/SIEGUER-ADULTO-MEDIANO-GRANDE.jpg,
2170,SIEGER CRIADORES ALL IN ONE ,20KG + 2KG,95700,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/tgm1xSgW/SIEGER-CRIADORES-ALL-IN-ONE-20-2KG.webp,https://i.postimg.cc/FRjzxXCP/SIEGUER-CRIADORES-ALL-IN-ONE.jpg,
2184,SIEGER CACHORRO MED/GR ,15KG,95800,,3KG,27200,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/PrF001Np/SIEGER-CACHORRO-MEDIANO-GRANDE-15KG.webp,https://i.postimg.cc/k4zrD2vc/SIEGER-CACHORRO-MEDIANO-GRANDE-TABLA-NUTRICIONAL.jpg,
2174,SIEGER SENIOR +7 MEDIUM Y BREED ,15KG,95700,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/cJgPBCcV/SIEGER-SENIOR-7-MEDIUM-Y-BREED-15KG.webp,https://i.postimg.cc/1XfTQyxN/SIEGER-SENIOR-MEDIANO-GRANE-TABLE-NUTICIONAL.jpg,
2172,SIEGER ADULTO MINI SMALL,12KG,88300,,3KG,27600,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/qRYRZNfs/SIEGER-ADULTO-MINI-12-Y-3KG.webp,https://i.postimg.cc/cJPtmmxv/SIEGUER-ADULTO-MINI-SMALL.jpg,
